Tweet,URL,Date
" Heavy Rain, Severe Storms South""... Sunday Update 9AM  @wvua23   #alwx   https:// vy-rain-severe-storms-south-sunday-update-9am-wvua23-alwx/ ""...   1 1 1 1 1 1",https://x.com/RichardWVUA23/status/1102224819884646407,2019-03-03T15:10:50.000Z
" As the ridge takes over Alabama, it's about to turn into an early summer. Forecast rain amounts here next 7 days, basically nothing. Mid 90s likely for much of the week.  #alwx   @wvua23   1 1 1 1 1 1",https://x.com/RichardWVUA23/status/1130532575779409921,2019-05-20T17:55:45.000Z
" Severe thunderstorm warning issued for Tuscaloosa and Hale county until 6:45pm  #alwx   @wvua23   https:// ere-thunderstorm-warning-issued-for-tuscaloosa-and-hale-county-until-645pm-alwx-wvua23/ ""...",https://x.com/RichardWVUA23/status/1119009932655890434,2019-04-18T22:48:52.000Z
" WVUA Webcast for Central AL for Monday Eve Feb 18   https:// a5vU8&feature=youtu.be ""...   https:// a5vU8&feature=youtu.be ""...",https://x.com/RichardWVUA23/status/1097715989041553408,2019-02-19T04:34:21.000Z
" For everyone that thinks it's cold outside now, it could be worse... Look at the record low of -1 set in 1985! Wow!  #alwx   @wvua23   1 1 1 4 4 4",https://x.com/RichardWVUA23/status/1219759395950809088,2020-01-21T23:11:16.000Z
" Cloudy and much cooler on Friday. We'll stay in the 50s all day, with periods of light rain and showers through the day. Friday will feel a bit more like a step back into winter.  #alwx   @wvua23",https://x.com/RichardWVUA23/status/1119071987010347008,2019-04-19T02:55:27.000Z
" https:// cott/posts/2048168908565820 ""...",https://x.com/RichardWVUA23/status/1104521098832564230,2019-03-09T23:15:25.000Z
" Rain Returns Late Thursday""... Cool Weekend Ahead""... Wednesday PM Forecast Update  #alwx   @wvua23   https:// n-returns-late-thursday-cool-weekend-ahead-wednesday-pm-forecast-update-alwx-wvua23/ ""...",https://x.com/RichardWVUA23/status/1334274807811158018,2020-12-02T23:14:38.000Z
" 10pm Wednesday Radar Update""... Heavy Rain & Storms Continue Tonight  #alwx   @wvua23   https:// m-wednesday-radar-update-heavy-rain-storms-continue-tonight-alwx-wvua23/ ""...",https://x.com/RichardWVUA23/status/1225268631916904449,2020-02-06T04:03:00.000Z
" Tornado Watch issues for Portions of Central Alabama  @wvua23   #alwx   https:// nado-watch-issues-for-portions-of-central-alabama-wvua23-alwx/ ""...",https://x.com/RichardWVUA23/status/1086651235397189632,2019-01-19T15:46:58.000Z
" Severe Thunderstorm warning issued for Greene and Pickens county until 6pm  #alwx   @wvua23   https:// ere-thunderstorm-warning-issued-for-greene-and-pickens-county-until-6pm-alwx-wvua23/ ""...",https://x.com/RichardWVUA23/status/1119000216206741504,2019-04-18T22:10:16.000Z
" WVUA Webcast for Central AL for Monday Eve Jan 21   https:// iZnAg&feature=youtu.be ""...   #alwx   @wvua23     1 1 1",https://x.com/RichardWVUA23/status/1087928966164475904,2019-01-23T04:24:12.000Z
" https:// tly-dry-weekend-warm-monday-snow-tuesday-friday-pm-forecast-update-alwx-wvua23/ ""...   https:// tly-dry-weekend-warm-monday-snow-tuesday-friday-pm-forecast-update-alwx-wvua23/ ""...",https://x.com/RichardWVUA23/status/1088929758119948288,2019-01-25T22:41:00.000Z
" Mainly cloudy on this Friday, with a few showers possible. Temperatures hold steady in the 60s.  #alwx   @wvua23",https://x.com/RichardWVUA23/status/1101467391572299776,2019-03-01T13:01:05.000Z
 A look at Ezell's in Lavaca... there is some flooding inside the restaurant now. Video from Mary Ann Ezell Hall  #alwx   @wvua23   14 14 14 19 19 19,https://x.com/RichardWVUA23/status/1230955166943383557,2020-02-21T20:39:16.000Z
" 2pm Update: We're still expecting a line of strong to severe storms this evening and tonight. Damaging winds will be the main risk, with an isolated tornado or two. Flash flooding is possible... Stay alert!  #alwx   @wvua23 2 2 2 1 1 1 4 4 4",https://x.com/RichardWVUA23/status/1227686017853001728,2020-02-12T20:08:50.000Z
" https:// ere-t-storm-warning-for-bibb-co-until-445pm-monday-alwx-wvua23/ ""...   https:// ere-t-storm-warning-for-bibb-co-until-445pm-monday-alwx-wvua23/ ""...   1 1 1 1 1 1",https://x.com/RichardWVUA23/status/1110292977983938561,2019-03-25T21:30:48.000Z
" Severe Thunderstorm Warning Issued for Southern Shelby County Until 5:30 P.M.  #alwx   @wvua23   https:// ere-thunderstorm-warning-issued-for-southern-shelby-county-until-530-p-m-alwx-wvua23/ ""...",https://x.com/RichardWVUA23/status/1263952742810300417,2020-05-22T21:59:51.000Z
" Record Breaking Heat This Week! Thursday forecast update  #alwx   @wvua23   https:// ord-breaking-heat-this-week-thursday-forecast-update-alwx-wvua23/ ""...",https://x.com/RichardWVUA23/status/1131746503729569793,2019-05-24T02:19:27.000Z
" Rain/T'Storms Late Saturday Night into Early Sunday Morning ""? Friday Forecast Update  @wvua23   #alwx   https:// n-tstorms-late-saturday-night-into-early-sunday-morning-friday-forecast-update-wvua23-alwx/ ""...   1 1 1 2 2 2",https://x.com/RichardWVUA23/status/1111735828059807744,2019-03-29T21:04:11.000Z
 Mostly sunny and very hot on this Sunday. A stray PM storm can't be ruled out. Highs in the mid 90s.  #alwx   @wvua23     2 2 2,https://x.com/RichardWVUA23/status/1173226907317542912,2019-09-15T13:27:46.000Z
 @Immabammer15 and and @wvua23 Correct 1 1 1,https://x.com/RichardWVUA23/status/1182776024100151296,2019-10-11T21:52:33.000Z
