Tweet,URL,Date
  WOW! Quote follow tfordfsp follow tfordfsp  @tfordfsp1  .Yes he 's ONLY 14 years old!!! Everyone meet  @IAhfua @IAhfua  6-4 340!! MONSTER!!! He will be one of the countries best!  #RollTide #RollTide     4 4 4,https://x.com/garyharris_wvua/status/1400318442260021249,2021-06-03T05:08:27.000Z
  @RealAndrewClare Good times!,https://x.com/garyharris_wvua/status/1404059531869556739,2021-06-13T12:54:13.000Z
  Alabama's Nick Saban continues his practice stretch routine - WVUA 23 Alabama's Nick Saban continues his practice stretch routine - WVUA 23     3 3 3 516 516 516,https://x.com/garyharris_wvua/status/1608349759559065600,2022-12-29T06:30:39.000Z
  Biscuit deserves to be in the Pro Football Hall of Fame! What 's the problem?  #DominantLinebacker   #HallOfFamer Quote Cornelius Bennett Cornelius Bennett  @realcbennett97  .Somebody gonna get it!!!!!!   4 4 4 21 21 21,https://x.com/garyharris_wvua/status/1096079082436132864,2019-02-14T16:09:52.000Z
  @vjohnston64 Thank you     1 1 1,https://x.com/garyharris_wvua/status/1474517987537436675,2021-12-24T23:10:58.000Z
"  Will Bama be able to flip Flash? We 'll find out Dec. 16.  https:// /XavierWorthy/status/1333870605653798912  ""¶ This post is unavailable. 1 1 1 1 1 1 6 6 6",https://x.com/garyharris_wvua/status/1333891424211906562,2020-12-01T21:51:12.000Z
  @prestoncmoore Decker can clearly be seen on video reporting. He also confirmed after the game that he reported. 2 2 2   8 8 8 548 548 548,https://x.com/garyharris_wvua/status/1741334306306371612,2023-12-31T05:43:45.000Z
"  The Gary Harris Show for Wednesday begins at 9 a.m. on  @Tide1009  

9:30  @AndrewJBone  

10:30  @DrewD977ESPN  

Call 205-342-9904 Tide 100.9 - Listen Live   5 5 5 4 4 4",https://x.com/garyharris_wvua/status/1597967489375547392,2022-11-30T14:55:12.000Z
"  My interview on Friday morning with  @adamamin  
@Tide1009fm  https:// a-tide-99-1/the-gary-harris-show-adam-amin-friday-june-26-2020?in=wdgm-tuscaloosa-tide-99-1/sets/the-gary-harris-show-1  ""¶   1 1 1 2 2 2",https://x.com/garyharris_wvua/status/1276613940383027207,2020-06-26T20:30:56.000Z
  @Ria_Martin It was fun!     2 2 2,https://x.com/garyharris_wvua/status/1463732008912306176,2021-11-25T04:51:20.000Z
  Will be a huge event for Albertville! Quote Chase Robinson Chase Robinson  @chaserobsports  .Sand Mountain Showdown is coming in March as Alabama takes on JSU in softball! Had a chance to catch up with  @UACoachMurphy @UACoachMurphy  and  @CoachJMcginnis @CoachJMcginnis  and you 'll hear them on WKXX Live this afternoon between 2-4 on Fox Sports 102.9 and  http://WKXX.com http://   1 1 1 1 1 1,https://x.com/garyharris_wvua/status/1470542924110778373,2021-12-13T23:55:29.000Z
  @bamadogo Dr. Rich McHugh at the Kirklin Clinic at UAB. He is now in California though.,https://x.com/garyharris_wvua/status/1284529773541298176,2020-07-18T16:45:38.000Z
"  Happy for Coach Hodgson, but it 's a big loss for Alabama. Quote Jeff Goodman Jeff Goodman  @GoodmanHoops  .Arkansas State has hired Alabama assistant Bryan Hodgson, source told  @Stadium @Stadium . 

Hodgson was in mix for other jobs, but this one fits. Has been with Nate Oats at Buffalo and in Tuscaloosa and is responsible for recruiting majority of the roster. Show more 1 1 1 2 2 2 30 30 30 3.2K 3.2K 3.2K",https://x.com/garyharris_wvua/status/1638567605593145344,2023-03-22T15:45:34.000Z
  Former Alabama golfer Nick Dunlap makes history. He wins the Barracuda Championship to become the first player in PGA Tour history to win an event as an amateur and professional in the same season! Nick is only 20 years old. Wow! 5 5 5 52 52 52 647 647 647 42K 42K 42K,https://x.com/garyharris_wvua/status/1815191923965014396,2024-07-22T01:07:33.000Z
  @ryanlarmeuwx I 'll be there     1 1 1,https://x.com/garyharris_wvua/status/1583873703644868608,2022-10-22T17:31:32.000Z
  Happy Birthday America!  0:03 0:03   2 2 2 21 21 21 870 870 870,https://x.com/garyharris_wvua/status/1809033091651899423,2024-07-05T01:14:33.000Z
"  Even though I 've lived in Tuscaloosa for 20 years, I still love walking the beautiful  @UofAlabama  campus. I see something new every single time. I 'm blessed  to live here.  #WhereLegendsAreMade   #RollTide 2 2 2 3 3 3 49 49 49",https://x.com/garyharris_wvua/status/1125106816906682368,2019-05-05T18:35:43.000Z
  @HunterLJohnson @wvua23 and and @Tide1029fm Big Al was in a hurry and the picture snapper just shot it upright.,https://x.com/garyharris_wvua/status/1134624981281910785,2019-06-01T00:57:30.000Z
  It 's already jumping here on campus!  @UofAlabama   @wvua23  @Tide1009fm  #RollTide   #GeauxTigers   #LSUvsBAMA 1 1 1 3 3 3 16 16 16,https://x.com/garyharris_wvua/status/1193205364654772225,2019-11-09T16:35:02.000Z
  @smannich @wvua23 and and @Tide1009 Matthew Travis is wise beyond his years!     3 3 3,https://x.com/garyharris_wvua/status/1479556535135227915,2022-01-07T20:52:21.000Z
"  The Tuesday edition of The Gary Harris show begins at 9 a.m. on  @Tide1009  

9:30 Talkin ' Ball with  @DrewD977ESPN  

10:30 Former Alabama, Arkansas, SMU and Vanderbilt assistant football coach  @CoachRandyRoss  

Call 205-342-9904 Tide 100.9 - Listen Live   2 2 2 6 6 6",https://x.com/garyharris_wvua/status/1546846990721490945,2022-07-12T13:20:36.000Z
